,category,instruction,operand1,operand2,operand3,operand4,operand5,time,type,issue2inst,delay,inflight SMEM,inflight VMEM,inflight FLAT,shader,simd,wave_id,begin_time,end_time,num_mem_instrs,num_issued_instrs,num_valu_instrs,num_valu_stalls,num_vmem_instrs,num_vmem_stalls,num_flat_instrs,num_flat_stalls,num_lds_instrs,num_lds_stalls,num_salu_instrs,num_salu_stalls,num_smem_instrs,num_smem_stalls,num_branch_instrs,num_branch_taken_instrs,num_branch_stalls
120,FLAT,global_load_dword,v7,v[5:6],off,,,11180,4,4,0,0,0,2,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
121,FLAT,global_load_dword,v8,v[3:4],off,,,11184,4,4,0,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
122,VALU,v_mov_b32_e32,v4,s3,,,,11188,6,4,0,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
123,VALU,v_mov_b32_e32,v5,s11,,,,11192,6,4,0,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
124,VALU,v_add_co_u32_e32,v3,vcc,s2,v1,,11196,6,4,4,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
125,VALU,v_add_co_u32_e64,v1,s[0:1],s10,v1,,11204,6,4,0,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
126,VALU,v_add_u32_e32,v0,s6,v0,,,11208,6,4,4,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
127,VALU,v_addc_co_u32_e32,v4,vcc,v4,v2,vcc,11216,6,4,16,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
128,SALU,s_or_b64,s[12:13],vcc,s[12:13],,,11240,2,8,4,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
129,IMMED,s_waitcnt,vmcnt(0),,,,,11244,9,0,864,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
130,VALU,v_add_f32_e32,v5,v7,v8,,,12112,6,4,8,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
131,FLAT,global_store_dword,v[3:4],v5,off,,,12124,4,4,0,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
132,SALU,s_andn2_b64,exec,exec,s[12:13],,,12132,2,8,0,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
133,JUMP,s_cbranch_execnz,.LBB0_2,,,,,12136,7,4,16,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
134,VALU,v_mov_b32_e32,v4,s5,,,,12156,6,4,4,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
135,VALU,v_add_co_u32_e64,v5,s[0:1],s4,v1,,12164,6,4,4,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
136,VALU,v_mov_b32_e32,v7,s9,,,,12172,6,4,4,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
137,VALU,v_add_co_u32_e32,v3,vcc,s8,v1,,12180,6,4,8,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
